what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1329303386090
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1329303386131
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1329303386154
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1329303386155
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1329303386181
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1329303386232
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1329303386233
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1329303386233
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1329303386292
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1329303386293
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1329303386321
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1329303386322
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1329303386346
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1329303386368
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1329303386379
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1329303386399
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1329303386465
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1329303386492
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1329303386514
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1329303386514
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1329303386537
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1329303386589
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1329303386590
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1329303386609
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1329303386621
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1329303386647
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1329303386647
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1329303386666
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1329303386668
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1329303386670
os,sysinfo,,,"linux",1329303386674
arch,sysinfo,,,"x86_64",1329303386674
ws,sysinfo,,,"gtk",1329303386674
locale,sysinfo,,,"en_US",1329303386674
processors,sysinfo,,,"4",1329303386674
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1329303386674
java.runtime.version,sysinfo,,,"1.6.0_22-b22",1329303386674
java.specification.name,sysinfo,,,"Java Platform API Specification",1329303386674
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329303386674
java.specification.version,sysinfo,,,"1.6",1329303386674
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1329303386674
java.version,sysinfo,,,"1.6.0_22",1329303386674
java.vm.info,sysinfo,,,"mixed mode",1329303386674
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1329303386674
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1329303386674
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329303386674
java.vm.specification.version,sysinfo,,,"1.0",1329303386674
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1329303386674
java.vm.version,sysinfo,,,"20.0-b11",1329303386674
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1329303386694
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1329303387419
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1329303387496
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1329303387586
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1329303387773
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1329303390203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329303390524
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329303390532
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329303390550
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329303391490
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329303393200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329303394513
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329303394549
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329303394682
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329303397432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329303492953
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1329303506903
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1329303506948
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329303507053
